Id,SalePrice
1461,115873.88163806505
1462,158105.98256284723
1463,181321.81592432686
1464,196092.83081242873
1465,200413.53096076555
1466,171258.82748913357
1467,179235.91552529583
1468,161037.50270147028
1469,201184.16110031708
1470,116222.28663395422
1471,190913.09473372845
1472,95960.30237678533
1473,94339.32022015248
1474,145675.47353175
1475,107144.94969339279
1476,346068.9427955934
1477,254178.51604417144
1478,284939.174251961
1479,288955.16373147676
1480,459755.9053205646
1481,339049.23768684827
1482,216371.2444638561
1483,182443.89667956904
1484,159639.45120824839
1485,197079.18141401903
1486,196630.3059183872
1487,327698.4451029635
1488,237739.1907658253
1489,191770.65705512525
1490,241047.4414016344
1491,197390.11719257
1492,95630.79388474756
1493,189151.25677170398
1494,292136.7433943257
1495,292614.71546000644
1496,235223.05970519065
1497,179103.64002466132
1498,170604.17493659427
1499,165245.62771363743
1500,157635.0261392834
1501,177319.9520692814
1502,145090.27007249751
1503,287303.05481541244
1504,241223.6001373416
1505,226544.15179660395
1506,189170.06971516804
1507,250186.4628099248
1508,199934.2496719841
1509,160259.31701647045
1510,143512.1926277135
1511,153719.02148543735
1512,179011.64999908672
1513,147079.29114902252
1514,150557.99007677293
1515,194321.78916513367
1516,155513.38465772604
1517,172101.24276046996
1518,130513.68573490478
1519,208097.68813479203
1520,127376.26560149448
1521,128537.35829035915
1522,182500.20205320464
1523,110458.9871916954
1524,122953.96558198641
1525,121156.47847403196
1526,112364.49277613751
1527,110453.5206895685
1528,136486.55862182702
1529,151429.1973482297
1530,183950.44684712883
1531,109320.3182328433
1532,98074.54078421977
1533,151203.14607347612
1534,121580.79774842701
1535,146725.14802843705
1536,106106.5582841915
1537,59042.64478436267
1538,148347.75623957175
1539,195580.706454614
1540,95475.45141446065
1541,134888.75977555764
1542,144263.093491456
1543,186919.43058679882
1544,89419.43787586348
1545,117355.87375195125
1546,143527.82397681524
1547,132172.30197739485
1548,141155.648223278
1549,122446.61797996295
1550,134123.03453057187
1551,105817.5798606191
1552,138904.05017943357
1553,147388.82186808574
1554,116482.99693414422
1555,162179.45052092982
1556,78856.97001751169
1557,107618.38804760111
1558,99479.66988346152
1559,59921.92783071662
1560,138723.92135523213
1561,121487.96363842026
1562,130536.60903365457
1563,117736.53962955941
1564,157530.67071771252
1565,148296.18341574806
1566,243848.60093449795
1567,75932.4701429427
1568,237499.66334526383
1569,116904.94242404014
1570,140279.2205655687
1571,122651.67643952201
1572,139210.53866452113
1573,234341.21207819125
1574,122068.38942135009
1575,240501.49250827613
1576,256148.92654659585
1577,175830.41537560662
1578,144349.83093076642
1579,151523.83678240396
1580,195375.48315467645
1581,156867.66376871557
1582,122467.7696539007
1583,292051.84939873766
1584,216439.1226082323
1585,135252.78625055472
1586,65167.25362776936
1587,105967.40316740809
1588,152534.1781343193
1589,97731.44937437205
1590,131614.95000334975
1591,90030.99953069162
1592,111989.49020948455
1593,125551.11200982644
1594,118056.19485816189
1595,103160.30436445109
1596,216966.24454988728
1597,195526.29987484336
1598,233649.1192527604
1599,168431.09363789766
1600,157899.61925346847
1601,64935.92206828497
1602,111608.6521671039
1603,73689.38574638077
1604,258004.07961416445
1605,244732.57230450294
1606,168975.0167448232
1607,176437.7261886025
1608,217921.37309974176
1609,182914.99052994093
1610,155632.48202971547
1611,139956.19877895445
1612,174279.23824325006
1613,165354.17708614856
1614,131287.38105428775
1615,93203.01027137128
1616,79105.61137206847
1617,94807.43024200907
1618,124468.16369562148
1619,139499.03326511345
1620,146215.81853599593
1621,141443.71016312842
1622,139820.61389329552
1623,273176.5950533104
1624,218132.39504545898
1625,114151.67876529862
1626,171991.01574877955
1627,191736.27874776945
1628,281736.8692924341
1629,181669.5552741887
1630,350505.0825951847
1631,231257.78161196975
1632,249652.9151601873
1633,174074.25373362584
1634,184644.04987291497
1635,177931.02014878186
1636,153502.82346610824
1637,198557.43358760295
1638,180185.31688017875
